state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2011-09-30,120877.06168374504,4,23,state,,4.106,226.597,9.0,67410.0,0.0034216666666666666,96701.64934699604,588.4744970747287,5617.5,9.545868220159505
Alabama,2011-10-31,120508.87359964462,4,23,state,,4.0675,226.75,8.8,67410.0,0.003389583333333333,96407.0988797157,584.530643884309,5617.5,9.610274600268557
Alabama,2011-11-30,120041.95107677951,4,23,state,,3.9925,227.169,8.6,67410.0,0.0033270833333333334,96033.56086142361,578.1057224369683,5617.5,9.717080772561431
Alabama,2011-12-31,119651.06506178674,4,23,state,,3.958,227.223,8.5,67410.0,0.0032983333333333337,95720.85204942939,574.3223551178788,5617.5,9.78109236031221
Alabama,2012-01-31,119505.49063231546,4,23,state,,3.915,227.842,8.3,67400.0,0.0032624999999999998,95604.39250585237,571.2629799912369,5616.666666666667,9.832015837526923
Alabama,2012-02-29,119569.56760620234,4,23,state,,3.89,228.329,8.3,67400.0,0.003241666666666667,95655.65408496188,570.1990343050685,5616.666666666667,9.850361590864484
Alabama,2012-03-31,119905.45838821976,4,23,state,,3.954,228.807,8.2,67400.0,0.0032949999999999998,95924.36671057582,575.3228392668251,5616.666666666667,9.762634617155797
Alabama,2012-04-30,120419.2237571166,4,23,state,,3.91,229.187,8.2,67400.0,0.0032583333333333336,96335.37900569329,575.3546572742653,5616.666666666667,9.7620947282769
Alabama,2012-05-31,121342.81196796204,4,23,state,,3.798,228.713,8.2,67400.0,0.003165,97074.24957436963,573.5568989028371,5616.666666666667,9.792693065693824
Alabama,2012-06-30,122662.8963418352,4,23,state,,3.675,228.524,8.2,67400.0,0.0030624999999999997,98130.31707346818,572.9536030159544,5616.666666666667,9.8030043568995
Alabama,2012-07-31,124053.2640987399,4,23,state,,3.55,228.59,8.2,67400.0,0.002958333333333333,99242.61127899193,572.4714586748331,5616.666666666667,9.811260599206507
Alabama,2012-08-31,125087.58139826612,4,23,state,,3.6019999999999994,229.918,8.1,67400.0,0.0030016666666666664,100070.0651186129,580.1639493307716,5616.666666666667,9.681171457043448
Alabama,2012-09-30,126047.16117053689,4,23,state,,3.4975,231.015,7.8,67400.0,0.0029145833333333333,100837.72893642951,578.7129164848861,5616.666666666667,9.705445492356406
Alabama,2012-10-31,126899.86657998127,4,23,state,,3.3825000000000003,231.638,7.8,67400.0,0.00281875,101519.89326398502,576.1370398313105,5616.666666666667,9.748837999221841
Alabama,2012-11-30,127811.55092519442,4,23,state,,3.3519999999999994,231.249,7.7,67400.0,0.002793333333333333,102249.24074015554,578.5508042148459,5616.666666666667,9.708164997348975
Alabama,2012-12-31,128433.49805586784,4,23,state,,3.345,231.221,7.9,67400.0,0.0027875,102746.79844469427,580.9686989261826,5616.666666666667,9.667761235756895
Alabama,2013-01-31,128729.48823143632,4,23,state,,3.414,231.679,8.0,69950.0,0.0028450000000000003,102983.59058514907,586.2421923367782,5829.166666666667,9.943273859957847
Alabama,2013-02-28,128894.0560943802,4,23,state,,3.5325,232.937,7.7,69950.0,0.00294375,103115.24487550417,593.8003082906022,5829.166666666667,9.816712092062286
Alabama,2013-03-31,129137.93872947663,4,23,state,,3.565,232.282,7.5,69950.0,0.0029708333333333336,103310.35098358132,596.8041660226708,5829.166666666667,9.7673022383782
Alabama,2013-04-30,129616.72373918716,4,23,state,,3.4450000000000003,231.797,7.6,69950.0,0.0028708333333333333,103693.37899134973,592.0686299712474,5829.166666666667,9.845423945108775
